product_name,product_category_tree,retail_price,discounted_price,overall_rating,product_rating,brand,is_FK_Advantage_product,description,product_specifications
Madcaps C38GR30 Men's Cargos,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Madcaps Cargos""]",2199.0,1699.0,No rating available,No rating available,,False,Madcaps C38GR30 Men's Cargos - Buy Green Madcaps C38GR30 Men's Cargos For Only Rs. 2199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""Cotton""}, {""key""=>""Fit"", ""value""=>""Relaxed Fit""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Ideal For"", ""value""=>""Men's""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach, Do Not Tumble Dry, Cool Iron, Do Not Dry Clean, Wash And Iron Inside Out, Wash With Similar Colors, Use Detergent""}, {""key""=>""Style Code"", ""value""=>""CARGO 38 GREEN""}]}"
Bengal Blooms Rose Artificial Plant  with Pot,"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",799.0,579.0,No rating available,No rating available,Bengal Blooms,False,"Key Features of Bengal Blooms Rose Artificial Plant  with Pot Assorted Height: 30 cm,Bengal Blooms Rose Artificial Plant  with Pot (30 cm, Multicolor) Price: Rs. 579 The Bengal Blooms Decor your home with artificial flowers attached to a wonderful pot.,Specifications of Bengal Blooms Rose Artificial Plant  with Pot (30 cm, Multicolor) General Brand Bengal Blooms Model Number BBAJC218 Type Assorted Bonsai No Model Name Rose Color Multicolor Pot Features Pot Included Yes Dimensions Total Height 30 cm In the Box Sales Package 1 Assorted Artificial plant with Pot","{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Bengal Blooms""}, {""key""=>""Model Number"", ""value""=>""BBAJC218""}, {""key""=>""Type"", ""value""=>""Assorted""}, {""key""=>""Bonsai"", ""value""=>""No""}, {""key""=>""Model Name"", ""value""=>""Rose""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Pot Included"", ""value""=>""Yes""}, {""key""=>""Total Height"", ""value""=>""30 cm""}, {""key""=>""Sales Package"", ""value""=>""1 Assorted Artificial plant with Pot""}]}"
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",999.0,699.0,No rating available,No rating available,Indcrown,False,"Key Features of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material Ghagra Choli , Ghagra, Choli, Dupatta Set , Lehenga Choli , Lehenga, Choli and Dupatta Set .,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Price: Rs. 699 We have not authorised any other seller to sell our brand Indcrown . Any seller doing so is selling fake Indcrown Products. Buy original Indcrown products from the seller "" indcrown‘’ only,Specifications of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Fabric Details Fabric Net Type Semi-stitched Lehenga Choli Material General Details Pattern Embroidered Ideal For Women's Color Multicolor Fabric Care Dry clean or else Normal Hand Wash Additional Details Other Details Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It, It Will Be Comfortable In All Season. Style Code R C Lehe Bt In the Box 1 Lehenga Choli And Duppta Set","{""product_specification""=>[{""key""=>""Fabric"", ""value""=>""Net""}, {""key""=>""Type"", ""value""=>""Semi-stitched Lehenga Choli Material""}, {""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""value""=>""Dry clean or else Normal Hand Wash""}, {""key""=>""Other Details"", ""value""=>""Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions, festivals, parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It, It Will Be Comfortable In All Season.""}, {""key""=>""Style Code"", ""value""=>""R C Lehe Bt""}, {""value""=>""1 Lehenga Choli And Duppta Set""}]}"
Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",499.0,275.0,No rating available,No rating available,Shopmania,False,"Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00664 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook","{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""Ruled""}, {""key""=>""Model id"", ""value""=>""NB00664""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""GSM"", ""value""=>""75""}, {""key""=>""Cover Type"", ""value""=>""300 GSM Hard Laminated Cover""}, {""key""=>""No. of Pages"", ""value""=>""160""}, {""key""=>""Brand Name"", ""value""=>""Shopmania""}, {""key""=>""Binding"", ""value""=>""Spiral Bound""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Size"", ""value""=>""A5""}, {""key""=>""Length"", ""value""=>""9 inch""}, {""key""=>""Width"", ""value""=>""6 inch""}, {""value""=>""Can be used as Notepad, Diary, Writing pad""}, {""key""=>""Sales Package"", ""value""=>""1 Notebook""}]}"
Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",499.0,275.0,No rating available,No rating available,Shopmania,False,"Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00678 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 Notebook","{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""Ruled""}, {""key""=>""Model id"", ""value""=>""NB00678""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""GSM"", ""value""=>""75""}, {""key""=>""Cover Type"", ""value""=>""300 GSM Hard Laminated Cover""}, {""key""=>""No. of Pages"", ""value""=>""160""}, {""key""=>""Brand Name"", ""value""=>""Shopmania""}, {""key""=>""Binding"", ""value""=>""Spiral Bound""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Size"", ""value""=>""A5""}, {""key""=>""Length"", ""value""=>""9 inch""}, {""key""=>""Width"", ""value""=>""6 inch""}, {""value""=>""Can be used as Notepad, Diary, Writing pad""}, {""key""=>""Sales Package"", ""value""=>""1 Notebook""}]}"
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound","[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",1000.0,837.0,No rating available,No rating available,Tiara Diaries,False,"Specifications of Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound (Coffee, Pack of 3) General Ruling ruled Model id 244 Type Notebook No. of Pages 216 Brand Name Tiara Diaries Binding Hard Bound Size B5 Color Coffee","{""product_specification""=>[{""key""=>""Ruling"", ""value""=>""ruled""}, {""key""=>""Model id"", ""value""=>""244""}, {""key""=>""Type"", ""value""=>""Notebook""}, {""key""=>""No. of Pages"", ""value""=>""216""}, {""key""=>""Brand Name"", ""value""=>""Tiara Diaries""}, {""key""=>""Binding"", ""value""=>""Hard Bound""}, {""key""=>""Size"", ""value""=>""B5""}, {""key""=>""Color"", ""value""=>""Coffee""}]}"
KAJCI Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",1200.0,699.0,No rating available,No rating available,KAJCI,False,Specifications of KAJCI Embroidered Women's Waistcoat General Details Pattern Embroidered Ideal For Women's Waistcoat Details Fabric Art Silk In the Box Waistcoat Additional Details Style Code LKOD112 Fabric Care Dry Clean Only,"{""product_specification""=>[{""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Fabric"", ""value""=>""Art Silk""}, {""value""=>""Waistcoat""}, {""key""=>""Style Code"", ""value""=>""LKOD112""}, {""value""=>""Dry Clean Only""}]}"
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",350.0,298.0,No rating available,No rating available,Packman,False,"Key Features of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag Supplying to Over 200 Companies around world International E-commerce Standard Direct From ISO 9002 Factory 60 Microns High Quality Bags Longer Lasting Protection,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) Price: Rs. 298 Courier Bag,Specifications of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) General Bubble Wrap Present No Brand Packman Model Number 8 x 10 inches Security Bags Without POD Jacket Courier Bag Water Resistant Yes Tamper Proof Yes Material Plastic POD Jacket Available No Color Grey Size 21.59 x 27.95 Dimensions Weight 600 g Other Dimensions 8 x 10 Thickness 60 micron Additional Features Other Features security bag In the Box Sales Package 1 pack contains 100 pcs Pack of 100","{""product_specification""=>[{""key""=>""Bubble Wrap Present"", ""value""=>""No""}, {""key""=>""Brand"", ""value""=>""Packman""}, {""key""=>""Model Number"", ""value""=>""8 x 10 inches Security Bags Without POD Jacket Courier Bag""}, {""key""=>""Water Resistant"", ""value""=>""Yes""}, {""key""=>""Tamper Proof"", ""value""=>""Yes""}, {""key""=>""Material"", ""value""=>""Plastic""}, {""key""=>""POD Jacket Available"", ""value""=>""No""}, {""key""=>""Color"", ""value""=>""Grey""}, {""key""=>""Size"", ""value""=>""21.59 x 27.95""}, {""key""=>""Weight"", ""value""=>""600 g""}, {""key""=>""Other Dimensions"", ""value""=>""8 x 10""}, {""key""=>""Thickness"", ""value""=>""60 micron""}, {""key""=>""Other Features"", ""value""=>""security bag""}, {""key""=>""Sales Package"", ""value""=>""1 pack contains 100 pcs""}, {""key""=>""Pack of"", ""value""=>""100""}]}"
Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",899.0,899.0,No rating available,No rating available,Pick Pocket,False,Specifications of Pick Pocket Embroidered Women's Waistcoat General Details Pattern Embroidered Occasion Casual Ideal For Women's Waistcoat Details Lining Polyester Fabric Bengal Silk Additional Details Style Code TL-012 Fabric Care First Time Dry Clean,"{""product_specification""=>[{""key""=>""Pattern"", ""value""=>""Embroidered""}, {""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""key""=>""Lining"", ""value""=>""Polyester""}, {""key""=>""Fabric"", ""value""=>""Bengal Silk""}, {""key""=>""Style Code"", ""value""=>""TL-012""}, {""value""=>""First Time Dry Clean""}]}"
Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",999.0,399.0,No rating available,No rating available,Angelfish,False,"Angelfish Silk Potali Potli (Multicolor) Price: Rs. 399 Made by silk Fabric with fancy lace adnored and stylish handle also.(set of 2 piece),Specifications of Angelfish Silk Potali Potli (Multicolor) General Closure Velcro Type Potli Material Fabric Style Code AELKABJ01224-A Ideal For Girls Bag Size Small Occasion Party Color Code Multicolor Dimensions Weight 200 g Body Features Number of Compartments 1","{""product_specification""=>[{""key""=>""Closure"", ""value""=>""Velcro""}, {""key""=>""Type"", ""value""=>""Potli""}, {""key""=>""Material"", ""value""=>""Fabric""}, {""key""=>""Style Code"", ""value""=>""AELKABJ01224-A""}, {""key""=>""Ideal For"", ""value""=>""Girls""}, {""key""=>""Bag Size"", ""value""=>""Small""}, {""key""=>""Occasion"", ""value""=>""Party""}, {""key""=>""Color Code"", ""value""=>""Multicolor""}, {""key""=>""Weight"", ""value""=>""200 g""}, {""key""=>""Number of Compartments"", ""value""=>""1""}]}"
Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",899.0,764.0,No rating available,No rating available,Oye,False,Specifications of Oye Boy's Dungaree Top Details Number of Contents in Sales Package Pack of 1 Fabric Cotton Type Dungaree General Details Pattern Solid Ideal For Boy's In the Box 1 Dungaree,"{""product_specification""=>[{""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""Cotton""}, {""key""=>""Type"", ""value""=>""Dungaree""}, {""key""=>""Pattern"", ""value""=>""Solid""}, {""key""=>""Ideal For"", ""value""=>""Boy's""}, {""value""=>""1 Dungaree""}]}"
Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",1999.0,1349.0,No rating available,No rating available,Nuride,False,"Key Features of Nuride Canvas Shoes Material: Canvas Occasion: Casual Color: Red Heel Height: 0.5,Specifications of Nuride Canvas Shoes General Occasion Casual Ideal For Women Shoe Details Heel Height 0.5 inch Outer Material Canvas Color Red","{""product_specification""=>[{""key""=>""Occasion"", ""value""=>""Casual""}, {""key""=>""Ideal For"", ""value""=>""Women""}, {""key""=>""Heel Height"", ""value""=>""0.5 inch""}, {""key""=>""Outer Material"", ""value""=>""Canvas""}, {""key""=>""Color"", ""value""=>""Red""}]}"
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",1499.0,1499.0,No rating available,No rating available,OM SHIVAKRITI,False,"Key Features of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm Paper Mache Height - 38.1 cm Width - 38.1 cm,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache, Multicolor) Price: Rs. 1,499 Omshivakriti brings you this square wall watch made from paper mache and finished in attractive set of colors. The product in display is ideal to décor your home.,Specifications of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache, Multicolor) General Brand OM SHIVAKRITI Model Number OSK60 Type Antique Material Paper Mache Model Name Square wall Clock Color Multicolor Dimensions Height 38.1 cm Width 38.1 cm Depth 3.81 cm In the Box Sales Package 1 showpiece","{""product_specification""=>[{""key""=>""Brand"", ""value""=>""OM SHIVAKRITI""}, {""key""=>""Model Number"", ""value""=>""OSK60""}, {""key""=>""Type"", ""value""=>""Antique""}, {""key""=>""Material"", ""value""=>""Paper Mache""}, {""key""=>""Model Name"", ""value""=>""Square wall Clock""}, {""key""=>""Color"", ""value""=>""Multicolor""}, {""key""=>""Height"", ""value""=>""38.1 cm""}, {""key""=>""Width"", ""value""=>""38.1 cm""}, {""key""=>""Depth"", ""value""=>""3.81 cm""}, {""key""=>""Sales Package"", ""value""=>""1 showpiece""}]}"
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",6999.0,1899.0,No rating available,No rating available,Himmlisch,False,"Himmlisch ST381 Magnetic Sun Shade For Maruti Alto (Side Window) Price: Rs. 1,899 Beat the heat this summer and feel like a VIP with Himmlisch Car Window Magnetic Sunshades. These magnetic sunshades create a mesh layer to stops the heat. Magnet border gets easily stick to your car window door edges (No need of Suction cups) Features: Block UV Rays Keeps Car Cool Easy to install and remove Durable and Exact Fit Provides Complete privacy Resists Heat Mesh Type Sunshade Package Contents: 1 x Set Of 4 Magnetic Sunshades,Specifications of Himmlisch ST381 Magnetic Sun Shade For Maruti Alto (Side Window) General Brand Himmlisch Model Number ST381 Magnetic Placement Position Side Window Color Black Dimensions Weight 4000 g Depth 1.1 cm In the Box Sales Package 4 Sun Shade Pack of 4","{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Himmlisch""}, {""key""=>""Model Number"", ""value""=>""ST381 Magnetic""}, {""key""=>""Placement Position"", ""value""=>""Side Window""}, {""key""=>""Color"", ""value""=>""Black""}, {""key""=>""Weight"", ""value""=>""4000 g""}, {""key""=>""Depth"", ""value""=>""1.1 cm""}, {""key""=>""Sales Package"", ""value""=>""4 Sun Shade""}, {""key""=>""Pack of"", ""value""=>""4""}]}"
Rapter BNC-179 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",2299.0,1400.0,No rating available,No rating available,Rapter,False,"Rapter BNC-179 BNC Wire Connector (Silver, Pack of 100) Price: Rs. 1,400 Rapter Pack of 100 BNC Connector.Superior quality BNC Connectors with high quality outer metel and brass conductors used to maintain a proper video/signal quality.BNC normally used in co-axial cables to lock with female connectors which ensures permanancy of connection.They can be used in DVRs, NVRs and CCTV Cameras etc.,Specifications of Rapter BNC-179 BNC Wire Connector (Silver, Pack of 100) General Brand Rapter Suitable For Wire to Wire Connection, Wire to Circuit Board Connection Model Number BNC-179 Type BNC Waterproof Yes Corrosion Proof Yes Color Silver In the box Sales Package 100 BNC Connector Pack of 100","{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Rapter""}, {""key""=>""Suitable For"", ""value""=>""Wire to Wire Connection, Wire to Circuit Board Connection""}, {""key""=>""Model Number"", ""value""=>""BNC-179""}, {""key""=>""Type"", ""value""=>""BNC""}, {""key""=>""Waterproof"", ""value""=>""Yes""}, {""key""=>""Corrosion Proof"", ""value""=>""Yes""}, {""key""=>""Color"", ""value""=>""Silver""}, {""key""=>""Sales Package"", ""value""=>""100 BNC Connector""}, {""key""=>""Pack of"", ""value""=>""100""}]}"
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",999.0,499.0,No rating available,No rating available,Vishudh,False,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004384 NAVY BLUE Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach","{""product_specification""=>[{""key""=>""Sleeve"", ""value""=>""Sleeveless""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""100% Cotton""}, {""key""=>""Type"", ""value""=>""Straight""}, {""key""=>""Neck"", ""value""=>""ROUND NECK""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Occasion"", ""value""=>""Festive""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Kurta""}, {""key""=>""Style Code"", ""value""=>""VNKU004384 NAVY BLUE""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}]}"
Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899.0,449.0,No rating available,No rating available,Vishudh,False,"Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004370 PINK::OLIVE Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach","{""product_specification""=>[{""key""=>""Sleeve"", ""value""=>""Sleeveless""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""100% POLYESTER""}, {""key""=>""Type"", ""value""=>""Straight""}, {""key""=>""Neck"", ""value""=>""ROUND NECK""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Occasion"", ""value""=>""Festive""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Kurta""}, {""key""=>""Style Code"", ""value""=>""VNKU004370 PINK::OLIVE""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}]}"
Vishudh Printed Women's Anarkali Kurta,"[""Vishudh Printed Women's Anarkali Kurta""]",2099.0,1049.0,No rating available,No rating available,Vishudh,False,"Specifications of Vishudh Printed Women's Anarkali Kurta Kurta Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Anarkali Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004389 BEIGE::PINK Fabric Care Gentle Machine Wash in Lukewarm Water, Do Not Bleach","{""product_specification""=>[{""key""=>""Sleeve"", ""value""=>""Half Sleeve""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 1""}, {""key""=>""Fabric"", ""value""=>""100% Cotton""}, {""key""=>""Type"", ""value""=>""Anarkali""}, {""key""=>""Neck"", ""value""=>""ROUND NECK""}, {""key""=>""Pattern"", ""value""=>""Printed""}, {""key""=>""Occasion"", ""value""=>""Festive""}, {""key""=>""Ideal For"", ""value""=>""Women's""}, {""value""=>""Kurta""}, {""key""=>""Style Code"", ""value""=>""VNKU004389 BEIGE::PINK""}, {""value""=>""Gentle Machine Wash in Lukewarm Water, Do Not Bleach""}]}"
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",6500.0,5000.0,No rating available,No rating available,BuildTrack,False,"Key Features of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System National Award Winning Product Long Battery Life Freely Placed Low Power Consumed,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System Price: Rs. 5,000 Buildtrack's Wireless Motion Sensor turns your existing light switches off when you leave the room and turns them on when you return. This model is ideal for fitting on a ceiling. It is battery powered and will work with One Single Switch. Using Wireless Motion Sensor stops Wastage of Energy and Lower your Electricity Bills. It is highly suitable for homes, institutions, banks, offices and healthcare. • Saves Energy • Lowers electricity bills • National Award Winning Product • Adds convenience • Works with existing switches, no re – wiring • Quick and easy installation • Freely placed • Long battery life • Single device for multiple switches • No aesthetic changes / No external wiring • Adjustable time delay for turning off,Related video of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,Specifications of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System General Detection Angle 360 degree Brand BuildTrack Brand Color Off White Suitable For Homes, Offices, Intermittent Spaces, Warehouses, Industrial Spacing Wired/Wireless Wireless Display Type NA Installation Type Plug and Play, Simply Attached to the Ceiling Model Number PIR Wireless Motion Sensor - One Switch Control Audible Alarm No Maximum Alarm Distance 0 m Minimum Alarm Distance 0 m Detection Range 10 ft Number of Sensors 1 Color White Dimensions Weight 200 g Other Dimensions 106x106x71 mm Warranty Service Type Manufacturer's Warranty - 1 Year In the Box Wireless Motion Detector | Actuator | User Manual | Warranty Card Additional Features Other Features Saves Energy, Lowers Electricity Bills, Adds Convenience, Works with Existing Switches, No Re – Wiring, Quick and Easy Installation, Single Device for Multiple Switches, No Aesthetic Changes / No External Wiring, Adjustable Time Delay for Turning Off Technology Used Passive Infra Red (PIR)","{""product_specification""=>[{""key""=>""Detection Angle"", ""value""=>""360 degree""}, {""key""=>""Brand"", ""value""=>""BuildTrack""}, {""key""=>""Brand Color"", ""value""=>""Off White""}, {""key""=>""Suitable For"", ""value""=>""Homes, Offices, Intermittent Spaces, Warehouses, Industrial Spacing""}, {""key""=>""Wired/Wireless"", ""value""=>""Wireless""}, {""key""=>""Display Type"", ""value""=>""NA""}, {""key""=>""Installation Type"", ""value""=>""Plug and Play, Simply Attached to the Ceiling""}, {""key""=>""Model Number"", ""value""=>""PIR Wireless Motion Sensor - One Switch Control""}, {""key""=>""Audible Alarm"", ""value""=>""No""}, {""key""=>""Maximum Alarm Distance"", ""value""=>""0 m""}, {""key""=>""Minimum Alarm Distance"", ""value""=>""0 m""}, {""key""=>""Detection Range"", ""value""=>""10 ft""}, {""key""=>""Number of Sensors"", ""value""=>""1""}, {""key""=>""Color"", ""value""=>""White""}, {""key""=>""Weight"", ""value""=>""200 g""}, {""key""=>""Other Dimensions"", ""value""=>""106x106x71 mm""}, {""key""=>""Service Type"", ""value""=>""Manufacturer's Warranty - 1 Year""}, {""value""=>""Wireless Motion Detector | Actuator | User Manual | Warranty Card""}, {""key""=>""Other Features"", ""value""=>""Saves Energy, Lowers Electricity Bills, Adds Convenience, Works with Existing Switches, No Re – Wiring, Quick and Easy Installation, Single Device for Multiple Switches, No Aesthetic Changes / No External Wiring, Adjustable Time Delay for Turning Off""}, {""key""=>""Technology Used"", ""value""=>""Passive Infra Red (PIR)""}]}"
